HibatullahAkhundzada
IlirMeta
AbdelmadjidTebboune
XavierEspotZamora
JoãoLourenço
GastonBrowne
AlbertoFernández
NikolPashinyan
AnthonyAlbanese
AlexanderVanderBellen
IlhamAliyev
PhilipDavis
PrinceSalmanbinHamadAlKhalifa
AbdulHamid
MiaAmorMottley
AleksandrLukashenko
AlexanderDeCroo
JohnnyBriceño
PatriceTalon
LotayTshering
LuisArce
ŠefikDžaferović
MokgweetsiMasisi
JairBolsonaro
HassanalBolkiah
RumenRadev
Paul-HenriSandaogoDamiba
évaristendayishimiye
HunSen
PaulBiya
JustinTrudeau
JoséMariaNeves
Faustin-ArchangeTouadéra
MahamatDéby
GabrielBoric
XiJinping
IvánDuque
AzaliAssoumani
FelixTshisekedi
DenisSassouNguesso
RodrigoChavesRobles
ZoranMilanović
MiguelDíaz-Canel
NicosAnastasiades
MilošZeman
MetteFrederiksen
IsmailOGuelleh
RooseveltSkerrit
LuisAbinader
JoséRamos-Horta
GuillermoLasso
AbdelFattah-elSisi
NayibBukele
TeodoroObiangNguemaMbasogo
IsaiasAfwerki
AlarKaris
KingMswati
AbiyAhmed
WiliameKatonivere
SauliNiinistö
EmmanuelMacron
AliBongoOndimba
AdamaBarrow
SalomeZourabichvili
OlafScholz
NanaAkufoAddo
KyriakosMitsotakis
KeithMitchell
AlejandroGiammattei
MamadyDoumbouya
UmaroSissocoEmbaló
MohammedIrfaanAli
ArielHenry
XiomaraCastro
KatalinNovák
GuðniThJóhannesson
NarendraModi
JokoWidodo
EbrahimRaisi
BarhamSalih
MichaelHiggins
NaftaliBennett
MarioDraghi
AlassaneOuattara
AndrewHolness
FumioKishida
KingAbdullahII
BisherAl-Khasawneh
UhuruKenyatta
TanetiMaamau
VjosaOsmani
KhalidAAl-Sabah
SadyrJaparov
ThonglounSisoulith
EgilsLevits
MichelAoun
MoeketsiMajoro
GeorgeWeah
Mohamedal-Menfi
DanielRisch
GitanasNausėda
XavierBettel
StevoPendarovski
AndryRajoelina
LazarusChakwera
MahathirMohamad
IbrahimMohamedSolih
AssimiGoïta
GeorgeVella
DavidKabua
MohamedOuldGhazouani
PravindJugnauth
LópezObrador
DavidPanuelo
MaiaSandu
AlbertII
UkhnaagiinKhürelsükh
MiloĐukanović
AzizAkhannouch
FilipeNyusi
MyintSwe
HageGeingob
LionelAingimea
SherBDeuba
Mark Rutte
JacindaArdern
DanielOrtega
MohamedBazoum
MuhammaduBuhari
KimJong-un
JonasGahrStøre
HaithambinTariq
ArifAlvi
SurangelWhippsJr
NitoCortizo
JamesMarape
MarioAbdoBenítez
PedroCastillo
RodrigoDuterte
AndrzejDuda
MarceloRebelodeSousa
TamimbinHamadAlThani
KlausIohannis
VladimirPutin
PaulKagame
RalphGonsalves
AfiogaTuimalealiifanoVaaletoaSualauvi II
GiacomoSimoncini
CarlosVilaNova
SalmanbinAbdulazizAlSaud
MackySall
AleksandarVučić
WavelRamkalawan
JuliusMaadaBio
LeeHsienLoong
EduardHeger
BorutPahor
ManassehSogavare
HassanSheikhMohamud
CyrilRamaphosa
YoonSuk-yeol
SalvaKiirMayardit
PedroSánchez
GotabayaRajapaksa
TimothyHarris
PhilipPierre
AbdelFattahal-Burhan
ChanSantokhi
MagdalenaAndersson
IgnazioCassis
Basharal-Assad
TsaiIng-wen
EmomaliRahmon
SamiaSuluhuHassan
PrayutChan-o-cha
FaureGnassingbé
SiaosiSovaleni
KeithRowley
KaisSaied
RecepTayyipErdoğan
SerdarBerdimuhamedow
KauseaNatano
YoweriMuseveni
VolodymyrZelenskyy
MohammedbinZayedAlNahyan
BorisJohnson
JoeBiden
LuisLacallePou
ShavkatMirziyoyev
TallisObedMoses
PopeFrancis
NicolásMaduro
NguyễnXuânPhúc
Rashadal-Alim
HakaindeHichilema
EmmersonMnangagwa
