name,tokenId
afganistán,106478754170045072693872485326055609500917057359870150467065241930242755587647
albania,41672059085510934840474418227852001322223605404054523013078493405697012773257
alemania,44997263708579992917793077306944098916538445565740564622099756497958890375323
andorra,65477120465303416293622339331211637596231508865152829080860952701849411176377
angola,71215131837246872185268986478292497995277067720619586289245925284635187398904
antiguaybarbuda,58335239703265946120363517298007946048241382603391751108704067429277216616859
arabiasaudita,38419196809537161300445739772486385194253728957650716106073132032209587801503
argelia,54712062232250990839042536590978823503696559952052967528536979437800653851902
argentina,106310369866321032255775653047152504923953179481310824144380157505975178204815
armenia,71303550073456760334286381782049876288254707045112570298952254401840815051142
australia,77116679800260266587058388121374005275549939039498213370250294658053299130781
austria,51649720743472255664465310155203952721153676485548403003233857793936385227416
azerbaiyán,721511311760493454596680926750836918435831478282306814621892292865998588517
bahamas,103636922435256993544526128942670930516104013517514578820970379003318723570007
bahréin,47456320104115153852031429456539393747811491700064369637565341161117245874324
bangladés,10619409115018865909948937004441245104724894172255650561571581592595762972196
barbados,25903872352470853323794695970174113116664623502331843224709322461662769514990
belice,16698570515205728877784548229995282499343891931707814021496824680065700819464
benín,70324723112285730940779579576425943427831459889093006038109461570074517168701
bielorrusia,32665766158894439450829513378503086438964425933840548968139681412471394733786
birmania,80859862671216451719562961269480416684048266131435120194754884128812839666431
bolivia,59739854908870798713267323571674383956626812325814483117639239995216540253064
bosnia-herzegovina,4703825945473769021335295526403579609943649273203051834638761305152496365721
botsuana,111589090670451998141093562193632487167280792109360543135886465963835704371385
brasil,56824693194408323899335205126690446038553996809402111918086629624203183642729
brunéi,48174411156839084032840815407980030026326435500899103684781391084048466958154
bulgaria,5299717140344058684592967728583831009561654367317450390452757660215472426424
burkinafaso,114610471451452997439703147994409779587232507209299300216455341932535882379624
burundi,22698369914669356486653806092395665147091987929006517526152565475430887898697
bután,106158928951459857116322918362029925501666959057030757550541829853343724235904
bélgica,105581597034424689588822811632282478633425818202693712619440335146127737697
caboverde,41795246559629033063274713161847620023836030064915738313117180999070442581668
camboya,115520428024436214998164339458508741937432481389326302262694192396848628483811
camerún,39645592373577900578640754896029268420307211496698873248811071492948223065404
canadá,22144540011047900278416137911692260741963134847491811404974769277917867738582
chad,717124109711285913165600844420559626437850183091610435488550219180226573743
chequia,108785959356200746687041026143881784697007658891136526412231337785202838347542
chile,10184311893218237001779935844364979148941996514253995609077204993491033097273
china,21804149240512519351319157421600715564218877079961204561257730983429600051210
chipre,36568588779610899545294011825459327478364815633796112250497317820415824490814
ciudaddelvaticano,80510233000416045018830487718662568421967655418496188391785268537420515700209
colombia,84523427933215471599424134679687194939122229825364977340302720647791527701316
comoras,46960427385251586394462573732629722938236886024949619872042727868008030447333
congo,39917843307151101770466791956094863457477131148445785473173918717003626636533
coreadelnorte,20042535285235516740103391589911634872434627961620562984582827533475365054292
coreadelsur,61732589244745596690975742459631102791557996379829133396442590084835400616041
costademarfil,113379200372981453551906295617780998230836742870191711958661256587272273885266
costarica,103827797355426575759347414417855720389121239748769217741926233614123095066824
cristóbalynieves,43604361329768711258661629532922367530624594783509226435509068747383955398063
croacia,34477801688480772513315147242572200150875760566230495321395957160831577378923
cuba,114022030097358588528795897987353459405671703550372978495438170259692505932589
dinamarca,16683027836472880688797046023639549706704162927440891557984794544582752439432
dominica,11858376812760558949427821763793002670553440423114253339949485678266254904859
ecuador,64024888621677932164975043213243451522971658999373529575506752114264047887569
egipto,111654082513177154099732470753009172106081373557327481951948072795164227975822
elsalvador,98921751294396196841677497363974397216448241353800503045390905929109437556517
emiratosárabesunidos,70832232013132724566447984477112350812114046512805550999508229966753820990565
eritrea,44139126184874132703833428973160694853446690123494471578942630643028301779693
eslovaquia,69255610233619386750928164706444530036740823030545957458713683863782282149844
eslovenia,9107599337684878914729189786023613397111821985293563535516341478481033459398
españa,1784031891837377332494645011069957936495448249209949426088421522680706893449
estadosunidos,93750204839060620804170353557216773736527403407550840147357115024885605852681
estonia,115358546912310493204575617938271721064194168388906062278695317835436115745269
etiopía,39390428106889651354657377668323894027482541770777836775644224795163600543388
filipinas,68598537357140005667346152447247986885915214792718960945297094183710509875448
finlandia,98932261855067167979883045613281943555587590702486609288335985275459765866201
fiyi,44031971408926989145206904797575750275437809560456585890949310629945004449190
francia,28992528763363117366154205246974361610900074000416409114719211870661779934763
gabón,95817804336990550475258363185800583515501104415345136517701215786181554828757
gambia,38395616476114760516764929550048553546777113652977281792364871918309548118430
