akio
aniyaku
anna
aogaeru
army
arren
arrietty
asbel
ashitaka
boh
calcifer
capo
catbus
catking
charles
chichiyaku
chihiro
dola
donaldcurtis
duffi
emily
fio
foreman
fujimoto
fukuo
gina
granmamare
haku
haru
heen
henri
himi
hiromi
hisako
hoppinglantern
howl
humbert
jellyfish
jhil
jiji
jiro
jirohorikoshi
junior
kaguya
kaguya-hime
kamaji
kanta
kaonashi
karen
kashira
kaya
kayo
kazuhiko
ket
kiki
kiriko
kiyo
kodama
kohroku
kokiri
kumiko
kushana
ladyeboshi
lastelle
lettiehatter
lin
lisa
louis
luisa
madame
madge
mahito
mammaaiuto
marco
markl
marnie
mei
michiko
miyoko
moon
moro
motro
muoro
muska
muta
nago
nanako
nanny
naoko
natori
natsuko
nausicaä
no-face
nobuko
noriko
okajima
okami
okino
okiyo
osa
osono
pazu
ponyo
porcorosso
princelune
radishspirit
rikako
riverspirit
robot
rumi
sadoko
san
satsuki
seiji
seita
seniorwitch
setsu
setsuko
sheeta
shirō
shizuku
sho
shu
shun
sootballs
sophie
sosuke
sōsuke
spirits
sugimura
suliman
taeko
taeko
taku
tanuki
tatsuo
thebaron
therru
toichi
toki
tombo
toto
totoro
tsuge
umi
unclepom
ursula
witchofthewaste
yamashita
yasuko
yoriko
yoshie
yu-bird
yubaba
yuko
yūko
yuna
yupa
zeniba
