adar
ainur
alatar
alfrid
aman
amras
amrod
anárion
ancalagon
anduril
angband
annatar
ar-pharazon
aragorn
arda
aredhel
arien
arwen
aule
aulë
azaghâl
azog
baggins
balin
balrog
baraddur
barahir
bard
barliman
beechbone
beleg
belegund
beorn
beregond
beren
bergil
bifur
bilbo
bilbobaggins
billferny
blacklock
bluewizards
bofur
bolg
bombadil
bombur
boromir
brandybuck
bree
broadbeam
butterbur
caranthir
carc
carcharoth
cave-troll
celeborn
celebrimbor
círdan
cirithungol
curufin
daeron
dáin
déagol
denethor
dolguldur
dori
doriath
dragluin
dragon
dragons
dúnedain
durin
dwalin
dwarve
dwarves
dwarvish
eagles
earendil
eärendil
easterlings
edain
edoras
elendil
elessar
elf
elfhelm
elladan
elrohir
elrond
elves
elvish
elwing
entish
ents
eol
eöl
éomer
eönwë
éowyn
erebor
ereinion
fangorn
faramir
farmercotton
farmermaggot
fattybolger
fëanor
fíli
finarfin
finglas
fingolfin
fingon
finrod
finwë
firebeard
fladrif
folco
frodo
frodobaggins
gaffer
galadriel
galathil
gamgee
gandalf
gil-galad
gimli
glamdring
glaurung
glóin
glorfindel
goblin
goblins
goldberry
gollum
gondolin
gondor
gorbag
gorthaur
gothmog
greatgoblin
gríma
grimbold
grishnákh
gwaihir
halbarad
halbrand
haldir
háma
hobbit
hobbiton
hobbits
huan
húrin
idril
ilúvatar
imrahil
irmo
ironfist
isengard
isildur
istari
kíli
lake-town
laurelin
leaflock
legolas
lobelia
longbeard
loreth
lorien
lórien
lothlorien
lotho
lurtz
lúthien
maedhros
maeglin
maglor
maiar
mandos
manwë
melian
meriadoc
merry
middle-earth
mîm
minasmorgul
minastirith
míriel
mirkwood
mithlond
mithrandir
mithril
morannon
mordor
morgoth
moria
morwen
mountdoom
mouthofsauron
námo
nargothrond
narya
nazgûl
necromancer
nenya
nienna
noldor
nori
numenor
númenor
oakenshield
óin
oldmanwillow
olog-hai
olórin
onering
orc
orcrist
orcs
ori
orodreth
orodruin
oromë
orthanc
osgiliath
ossë
palantir
palantíri
pallando
peregrin
pippin
quickbeam
radagast
ringsofpower
rivendell
rohan
rohirrim
rosie
sam
samwise
saruman
sauron
shadowfax
shagrat
sharkey
shelob
silmaril
silmarillion
silvanelves
sindar
skinbark
smaug
sméagol
stiffbeard
stone-troll
stonefoot
tauriel
ted
telchar
teleri
telperion
thangorodrim
thehobbit
thelordoftherings
théoden
théodred
theshire
thesilmarillion
thingol
thorin
thorondor
thráin
thrór
tom
took
treebeard
troll
trolls
tûk
tulkas
tuor
turgon
túrin
ulmo
ungoliant
uruk-hai
valar
valinor
vanyar
varda
vëantur
vilya
voronwë
witch-king
wormtongue
wraith
wraiths
yavanna
