aaylasecura
adigallia
admiralackbar
admiralmotti
admiralozzel
admiralpiett
admiralraddus
admiralstatura
agenkolar
agentkallus
ahsokatano
aksmoe
anakinskywalker
ap-5
asaajventress
aurrasing
axewoves
b2emo
babufrik
bailorgana
bala-tik
barissoffee
baylanskoll
bazemalbus
bazinenetal
bb-8
bd-1
beaumontkin
benkenobi
berulars
bibfortuna
biggsdarklighter
bixcaleen
blackkrrsantan
bo-katankryze
bobafett
bodhirook
bossk
bossnass
boushh
brasso
brehaorgana
brenderlin
burg
c-3po
c'aithrenalli
cadbane
calebdume
calkestis
camiemarstrap
captainantilles
captaincanady
captainenoch
captainneeda
captainpanaka
captainphasma
captainrex
captaintypho
caradune
carsonteva
cassianandor
cassiotagge
chancellorvalorum
chewbacca
chiefchirpa
chirrutîmwe
cindrallig
cintakaz
cliegglars
cobbvanth
colemantrebor
commandercody
commanderd'acy
commandersato
constablezuvio
cordé
corneliusevazan
countdooku
d-o
dagangera
dakralter
darthbane
darthmaul
darthplagueis
darthsidious
darthtyranus
darthvader
dedrameero
dengar
depabillaba
dexterjettster
dindjarin
dineéellberger
doctorkalonia
doctorpershing
dokkstrassi
drash
droopymccool
drydenvos
eethkoth
elivanto
elloasty
emperorpalpatine
enfysnest
evenpiell
ezrabridger
fennecshand
figrind'an
finn
galenerso
garindan
garsafwip
garvendreis
generalbast
generaldodonna
generalgrievous
generalhux
generalmadine
generalpryde
generalrieekan
generalveers
gorkoresh
governorwing
grandadmiralthrawn
grandmofftarkin
greeatajendowanian
greedo
greefkarga
grogu
grummgar
hajaestree
hansolo
herasyndulla
huyang
ig-11
jabbathehutt
jangofett
jannah
jarjarbinks
jekporkins
jerusjannick
jesspava
jobalnaberrie
jocastanu
jynerso
k-2so
kanunjarrus
kaydelkoconnix
kelleranbeq
ki-adi-mundi
kinoloy
kitfisto
kleyamarki
korrsella
koskareeves
kuill
kyloren
l3-37
lamasu
landocalrissian
lazeloneozner
lieutenantmitaka
lobot
lorsantekka
lottdod
lukeskywalker
luminaraunduli
luthenrael
luxbonteri
lynme
lyraerso
maarvaandor
macewindu
majorbrance
majorematt
majorpartagaz
malakili
marrok
marsguo
masamedda
mawhonic
maxrebo
mazkanata
me-8d9
merrin
migsmayfeld
minabonteri
minasvelti
moffgideon
moffjerjerrod
monmothma
morganelsbeth
nari
niennunb
nutegunray
obi-wankenobi
odymandrell
omatres
omega
omera
oola
opporancisis
ornfreetaa
orsonkrennic
owenlars
padméamidala
paigetico
passelargente
pazvizsla
pelimotto
plokoon
poedameron
pogglethelesser
pondababa
pongkrell
prauf
previzsla
princessleia
pz-4co
qi'ra
queenamidala
queenapailana
qui-gonjinn
quiggold
r1-j5
r2-d2
r4-p17
r5-d4
rafamartez
rakohardeen
ranzarmalk
rattstyerell
razooqin-fee
revasevander
rey
ricolié
riodurant
roostarpals
rosetico
runehaako
rushclovis
ruweenaberrie
rystállsant
sabé
sabinewren
saeseetiin
salinekryze
sarcoplank
savageopress
sawgerrera
sebulba
sergeanthunter
shaakti
shinhati
shmiskywalker
shumai
sidonithano
sifo-dyas
siobibble
skad
slymoore
snapwexley
stassallie
steelagerrera
stronotuggs
supremeleadersnoke
syrilkarn
sysnootles
taladurith
tallielintra
tarfful
tasuleech
taunwe
thanisson
thearmorer
thegrandinquisitor
tionmedon
tobiasbeckett
tracemartez
unkarplutt
ursawren
val
vectnokru
velsartha
vice-admiralholdo
voberdand
wattambor
watto
wedgeantilles
wesjanson
wicketwwarrick
wollivan
wuher
wulffyularen
yaddle
yaraelpoof
yoda
zamwesell
zevsenesca
zoriibliss
