0⃣0⃣0⃣0⃣,44311318086654320157171751009421340073062721135773407996879535659855328191193
1⃣1⃣1⃣1⃣,9351473512367851157397664667989001764475009080221776266282963176202763771655
2⃣2⃣2⃣2⃣,32268154660352013797888924664816968925225174033449678751117369656492731010313
3⃣3⃣3⃣3⃣,73229757724040635175675132810701650267857287085886621573179111242458928988353
4⃣4⃣4⃣4⃣,90651547221587109658556705282822777729597926322360464171598570965041085545592
5⃣5⃣5⃣5⃣,72731842483120611581173178571568154068985247096788496893975979262667885395448
6⃣6⃣6⃣6⃣,91832349168710815637240273068241752321044136176360991201174770169234946731660
7⃣7⃣7⃣7⃣,31627611710584826602703304504886820515771027756399155748107587093277116160776
8⃣8⃣8⃣8⃣,82035322209140778592061635139730436002813534655452504249217970775585835102323
9⃣9⃣9⃣9⃣,33205390273312131288388337159908809916628173552191727557258613881881453298548
iiii,64326907117027760009724151466000679900503650589033809538077282895391809107438
mmmm,24346663533299986203145522500278981368437460723435986363719458993878482599964
tmtmtmtm,53750218041237140006525563753792248419080749860088784306753690464577123581715
©©©©,54017487370900652249295606079052780599389437856936920432897361997395586940880
®®®®,95196604588096651085611408765557197037230472803887912292058992595625022932987
↔↔↔↔,29914868901705840740898485518064593721818177035316166159100193639334815706897
↕↕↕↕,77585699384026027894481870795390772557482959042536747717702004726451117090072
↖↖↖↖,26136374109733707594285627769709503759286104238944962670775935294582837691891
↗↗↗↗,96840044795317865982772324764423703064390184187040286176114413842788527325342
↘↘↘↘,50874615412092307002787836009679272505250326363546756098420778428278144161674
↙↙↙↙,64341529511715643806213926217135415326798669939979101973525982299954080521669
↩↩↩↩,29226110802874751369241463304489919501880281541957024858246418671790169859725
↪↪↪↪,11751795806684341839483396993013141005256133061185104585788556115951449422937
⌚⌚⌚⌚,91739725182294345629951440611016121670135702356564100465291039395738570242999
⌛⌛⌛⌛,60528070851855963472277538888369579149046435993395860273648936347944104978933
⌨⌨⌨⌨,77893676617900653411713654933080568049126981965952244519108699638110372170687
