360flip,98616554236326312749278709513854580953878620674495205480495348098457846469012
360hardflip,47472267081156497755694695434079622408838615199047565942380996464188800968919
360ollieheelflip,26857797904388161165490353480950655679534501263623358158087935610859481112189
360olliekickflip,85012112176447636227914284858880550656154974069898326070982245436255181536606
360popshove-it,80288292680693321995175331286098525881323751935075465316930659217251099090576
360shuvit,62104583508882855825135925748376072988134603700782949146703538554708123744019
50-50grind,10414132280522080032253839248969889735074935861903026052653673213558009920949
540,83818426079673364639454390857982867102565223432203242771365636167846938201533
540flip,48224803040669637272348751028301829825232988753660016335235005447248364338127
720,34552884728933434187588241887910129921294753718261380532624694914184373679016
720flip,47783568090130475589960002709155096589383359495058785771149963459661820853871
900,268622719789169442176523507662941818670368761207491085403418942188542716969
aciddrop,82804610646481578167897595026528948167104299615522469863066172824765817119935
airwalk,69634665642946316759433383832314458739383066418073487459393243532783396184316
alleyoop,113772081375807103503673503528522540865029092657899263169747764780445802693248
alphaflip,109534652207328746718779222965532104323183606226934106004277927830082637344204
anticasperflip,100796719825257905035638658095883581449728628225869830193772970506652787528014
axledrop-in,33113946802584934727431331995009820442288286610942667537974642656854119124264
backside180,29718484639078983461130024658183755346925699488607975953574713331555370485679
backside360,108297993413485128220274602145757439607672938968019570671043835427875215821739
backside5-0,71876811623836443861944126958081559430382644989191199994628200744615480150533
backside50-50,90918959760479206277657758465961026256520199658847606057564337170371850980411
backsideaxlestall,34388281369575086995639076493740050250750809307001895931382053369978142793877
backsidebigspin,13863496653306217309358002626983993230768561737369447996663796003581266927882
backsidebluntslide,61774153507917880164276877861045838962948109734107474065101278316418847803216
backsideboardslide,34765671700998794099883763013654170708440371028564251830780534597653771312681
backsideboneless,35317904750371253647369445796761582440089705021276640536557135702328369189919
backsidecaballerial,41790168232144545282648922866460878777648636778674883727318773617372857940132
backsidecrooked,48155990803346713334564505722761822794977871849251939334727155342765778607452
backsidecrookedstall,88880746123067249024028927193700941557333778391057864511108496667085762989451
backsidedisaster,7758541535838774061965602193412497337191903404822319638566540796452618021035
backsidefeeble,49274141957741304540946294569688501428127968395203505615266015505819777617981
backsidefeeblestall,39389839013017056828304030222982644969123669380826115166235318302272102347283
backsideflip,7959137478247576641235477851552636596339506118823963043912202644018513542636
backsidehalfcab,22431202889779524836282578874237476578326265833059989984316985778790333651449
backsidehalfcabheelflip,2298092091743346095745143089028597482256152227753955873137263149230047657699
backsidehalfcabkickflip,31961612781441413377973711895933238857026462886982261617109806894597577309075
backsideheelflip,79960393380999985716128853012394892407160592202153570020892438185597245484837
backsidehurricanestall,45378236528132079122741024072683765841485524132737300103651426871597712303779
backsidekickflip,111763491696885590488345729748068702880208530890682338327948676835902800295399
backsidelipslide,71187836293402403700391317048489245751301230715865265342331788802185658103297
backsidenosebluntslide,40204222494415098016268970671598568870288743808400824304577107401197302605210
backsidenosegrind,21974500873963160957968127449177149979787433747457668732618154177392452484144
backsidenoseslide,4143802641552416660319760709963855499343213889658606102059806367628479629484
backsideovercrook,78808773588071613778116357162119422249326024309257995410126012701649401288811
backsidepivotstall,24378483536118956363024833386734770603363968853176571682185400604265950722899
backsidesalad,114527307098724503922841687230353007249258185899787411833277799613217402053980
backsidesmith,82932045059681881228663102249104014372287222497481598127078201574484000676576
backsidesmithstall,63031736648090281132873550168129443759702000468312449893729669834164100445248
backsidesuski,23949207175435918414048995218134208452724654960942187416014718281447040177595
backsidetailslide,104859547961860324657078572041873773413960625709396677578090334328570806540040
backsidetailstall,81164425720517475097265498460471394330772188418358087489382883433639729473871
backsidewallride,17479618315550178585684573164834722974781232254090412896504663597076373096921
barleygrind,20044987707396658886730811963698427092088063072113568117108513875207712370399
beanplant,55516129668700972684061618259667075544008994074437801243764581486578497799263
benihana,21178090372329371164903611279359541884432052215862149472615626898505852897101
bertlemannslide,23901144091755715745281240931404153892009624151518592485623284842267906485292
bigflip,71591913372511842689505384749199958218744805039375670113321025461911828285823
biggerflip,13637606400621831261669544784365897685904856863342599058994921340092222633730
biggerspin,22212419106293303438034455390342773797237390891002753940233887566870849702292
bigheelflip,72869325377954012281328424292427195816759854283408901571485966433057763259087
bigspin,59552174514288446856586310856628533257493119709209406507531996865952634124595
bluntslide,98186288952543819231545100920350659345554516053379407140039249054648171080970
bluntstall180out,102563782550499337815698421480332055103697194860201459163075127730934748129088
bluntstallpullback,19973449582473973612825488196717660960611446863815807604296400284463381640829
bluntstalltofakie,113660223219627402435129700679161006444779836668887413465835611691976791047794
