covidlock,
emotet,
wannacry,
petya,
cryptolocker,
stuxnet,
zeus,
iloveu,
melissa,
mydoom,
stormworm,
sqlslammer,
shamoon,
regin,
xafecopy,
gameoverzeus,
cryptomix,
avaddon,
plugx,
revil,
