mario
luigi
princesspeach
toad
bowser
daisy
wario
waluigi
rosalina
goomba
toadette
koopatroopa
koopalings
yoshi
poochy
babymario
babyluigi
kamek
shyguy
cappy
pikmin
captainolimar
oatchi
bulborb
louie
alph
brittany
charlie
kirby
waddledee
kingdedede
metaknight
magolor
kracko
whispywoods
susie
donkeykong
diddykong
dixiekong
crankykong
funkykong
snowmads
rambi
tikitak
link
zelda
princesszelda
ganondorf
epona
tetra
sheik
tingle
gorons
pikachu
inklings
deepcut
sheldon
harmony
mrcoco
jellafleur
octarians
gnarlyeddy
murch
judd
li’ljudd
cap’ncuttlefish
pearl
marina
callie
marie
crustysean
jelonzo
isabelle
tomnook
timmy
tommy
ablesisters
blathers
kkslider
kapp’n
porter
gracie
lottie
digby
lyle
annie
moe
samusaran
foxmccloud
peppyhare
falcolombardi
slippytoad
qbby
ribbongirl
springman
ninjara
mechanica
mastermummy
helix
byte
barq
kidcobra
minmin
twintelle
littlemac
villager
shulk
lucas
ness
marth
ike
lucina
marie
birdo
pauline
lakitu
hammerbro
drybones
boomboom
pompom
montymole
fawful
midna
impa
ghirahim
vaati
saria
ravio
hilda
urbosa
mipha
daruk
revali
sidon
yunobo
teba
riju
