0⃣0⃣,"1,39209760336918E+075"
1⃣1⃣,"9,53018852912405E+076"
2⃣2⃣,"2,18995019671029E+076"
3⃣3⃣,"2,16774208731242E+076"
4⃣4⃣,"1,0634086406011E+077"
5⃣5⃣,"1,53153735557498E+076"
6⃣6⃣,"6,97665090511755E+075"
7⃣7⃣,"1,19387176532414E+076"
8⃣8⃣,"6,24032660699268E+076"
9⃣9⃣,"1,13978777137853E+077"
👋🏻👋🏻,"1,07221171441335E+077"
👋🏼👋🏼,"6,85332894386645E+076"
👋🏾👋🏾,"4,70380044379654E+076"
👋🏽👋🏽,"2,25775312988001E+076"
👋🏿👋🏿,"2,53594273709482E+076"
🤚🏻🤚🏻,"9,82848410120385E+076"
🤚🏽🤚🏽,"8,30062817456138E+076"
🤚🏼🤚🏼,"7,0626469283674E+076"
🤚🏿🤚🏿,"1,07845407074785E+077"
🤚🏾🤚🏾,"4,67432177440397E+076"
🖐🏻🖐🏻,"6,04334604606275E+076"
🖐🏼🖐🏼,"7,14699693319945E+075"
🖐🏽🖐🏽,"2,89033714375419E+076"
🖐🏾🖐🏾,"6,88992778212077E+076"
🖐🏿🖐🏿,"2,87114029516441E+076"
✋🏻✋🏻,"1,71013402104943E+076"
✋🏼✋🏼,"8,21263675933207E+076"
✋🏽✋🏽,"7,03676550142191E+076"
✋🏾✋🏾,"7,42809095544562E+076"
✋🏿✋🏿,"8,27411483040964E+076"
🖖🏻🖖🏻,"1,03236680249439E+077"
🖖🏼🖖🏼,"9,44937698773339E+076"
🖖🏽🖖🏽,"8,25833002471885E+076"
🖖🏾🖖🏾,"6,84142746845263E+076"
🖖🏿🖖🏿,"1,50727505141786E+076"
👌🏻👌🏻,"1,08057127959787E+077"
👌🏼👌🏼,"6,05918020115799E+076"
👌🏽👌🏽,"6,1272836466231E+076"
👌🏾👌🏾,"1,19180792615554E+076"
👌🏿👌🏿,"1,15073680991922E+077"
🤌🏻🤌🏻,"5,8723875117349E+076"
🤌🏼🤌🏼,"1,81559817395827E+076"
🤌🏽🤌🏽,"1,02040385855478E+077"
🤌🏾🤌🏾,"2,50719331873773E+076"
🤌🏿🤌🏿,"6,82993117842092E+076"
🤏🏻🤏🏻,"5,39982587089781E+076"
🤏🏼🤏🏼,"7,16046735798052E+076"
🤏🏽🤏🏽,"9,39299706571521E+076"
🤏🏾🤏🏾,"2,78629595929934E+076"
🤏🏿🤏🏿,"6,74561570051114E+076"
✌🏻✌🏻,"2,24739087378888E+076"
✌🏽✌🏽,"3,28392676463365E+076"
✌🏼✌🏼,"3,84582912520719E+075"
✌🏾✌🏾,"7,3745686857332E+076"
✌🏿✌🏿,"4,76289911852335E+076"
🤞🏻🤞🏻,"1,14622167700442E+075"
🤞🏼🤞🏼,"9,25269110704329E+076"
🤞🏽🤞🏽,"7,32403520304847E+076"
🤞🏾🤞🏾,"5,10866296340486E+076"
🤞🏿🤞🏿,"1,07149508592671E+075"
🤟🏻🤟🏻,"9,24729318909752E+076"
🤟🏼🤟🏼,"1,11050213381901E+077"
🤟🏽🤟🏽,"4,95851830970933E+076"
🤟🏾🤟🏾,"1,69351027139117E+076"
🤟🏿🤟🏿,"6,63203559742855E+075"
🤘🏻🤘🏻,"3,3543650553083E+076"
🤘🏼🤘🏼,"2,56478736979483E+076"
🤘🏽🤘🏽,"1,2684100735971E+076"
🤘🏾🤘🏾,"1,7955061398158E+076"
🤘🏿🤘🏿,"1,41031843820035E+076"
🤙🏻🤙🏻,"3,76701375426747E+076"
🤙🏼🤙🏼,"6,19907899284103E+076"
🤙🏽🤙🏽,"3,13007576408934E+076"
🤙🏾🤙🏾,"7,43041666104598E+076"
🤙🏿🤙🏿,"1,99165185217495E+075"
👈🏻👈🏻,"1,99065982486296E+076"
👈🏼👈🏼,"3,0272317791774E+076"
👈🏽👈🏽,"4,04363891412659E+076"
👈🏾👈🏾,"1,27402168239041E+076"
👈🏿👈🏿,"5,02298448163618E+075"
👉🏻👉🏻,"1,14231713676108E+077"
👉🏼👉🏼,"1,03218276751153E+077"
👉🏽👉🏽,"2,15243451428016E+076"
👉🏾👉🏾,"2,55985667337013E+076"
👉🏿👉🏿,"3,66572520443791E+076"
👆🏻👆🏻,"1,02070917800122E+077"
👆🏼👆🏼,"3,62204499214364E+075"
👆🏾👆🏾,"1,04012191843563E+077"
👆🏽👆🏽,"1,22286726742507E+076"
👆🏿👆🏿,"2,19277035175789E+076"
🖕🏻🖕🏻,"3,33333217368854E+076"
🖕🏼🖕🏼,"3,88853970806927E+076"
🖕🏽🖕🏽,"1,00294161359779E+077"
🖕🏿🖕🏿,"2,06943874749212E+075"
🖕🏾🖕🏾,"6,93467240334833E+076"
👇🏻👇🏻,"9,38572650251731E+076"
👇🏼👇🏼,"8,5202923380431E+075"
👇🏽👇🏽,"5,88731555961555E+076"
👇🏾👇🏾,"8,67029441735645E+076"
👇🏿👇🏿,"5,37898894616042E+076"
☝🏻☝🏻,"1,68430526336299E+076"
☝🏼☝🏼,"5,00921395376742E+076"
☝🏽☝🏽,"9,9011615786944E+076"
☝🏾☝🏾,"2,44465103132282E+076"
☝🏿☝🏿,"1,00651033674287E+077"
👍🏽👍🏽,"1,95172788635101E+076"
👍🏼👍🏼,"7,11571297567345E+075"
👍🏾👍🏾,"1,88363920135905E+076"
👍🏿👍🏿,"5,45639236199923E+076"
👍🏻👍🏻,"3,51290249489246E+076"
👎🏻👎🏻,"2,98417256938674E+076"
👎🏼👎🏼,"8,16398110351094E+076"
👎🏽👎🏽,"4,82793693229163E+076"
👎🏾👎🏾,"3,48708010113626E+076"
👎🏿👎🏿,"3,94502479035422E+076"
✊🏻✊🏻,"5,54856769498741E+076"
✊🏼✊🏼,"3,11794404914177E+076"
✊🏽✊🏽,"1,09448660135507E+077"
✊🏾✊🏾,"8,98468288101386E+076"
✊🏿✊🏿,"6,9310597048784E+076"
