0⃣0⃣0⃣0⃣,44311318086654320157171751009421340073062721135773407996879535659855328191193
0⃣0⃣0⃣1⃣,14348749830218428351219696604784043746140766090561120402047979037846179500455
0⃣0⃣0⃣2⃣,108012602112156732473794463503833415437424791198814881558497053006232464085819
0⃣0⃣0⃣3⃣,109819315977732158994880955528640618617344077720599316856853398079019692296811
0⃣0⃣0⃣4⃣,79130049994906206644427936801053751427837349964653485109643850180952461700108
0⃣0⃣0⃣5⃣,47774397800868083953236582597729875909968528387236448143212503967958966475094
0⃣0⃣0⃣6⃣,71170139775079763589114817900472533100881916906313791376686976644836371232610
0⃣0⃣0⃣7⃣,112928105371972680137395804331471284868905725689055783900724067084767495782247
0⃣0⃣0⃣8⃣,64657961372458620723687592413821243210441760642057454850860555938268289560992
0⃣0⃣0⃣9⃣,35624256139295303276454885308632197562049721030983922304524446113326111494411
0⃣0⃣1⃣0⃣,9090495966688238536681448245211484187786190052595673384594886058574956396080
0⃣0⃣1⃣1⃣,92838730647633788705897059613868625214888349748421850131832057246166688744020
0⃣0⃣1⃣2⃣,47277941685086216711419677651018981522294415362866483891404675623068953288946
0⃣0⃣1⃣3⃣,60047763731398811205796780056138156007923391003172583497778634317955783084242
0⃣0⃣1⃣4⃣,48370717203285509410946850594332002723299665988514132080295519740673698456385
0⃣0⃣1⃣5⃣,101203371213498940568754942247007542506616573246492373486201184249044529552169
0⃣0⃣1⃣6⃣,59288564119014334618095846751561946741448202511066682871572364095898348722266
0⃣0⃣1⃣7⃣,90089223577413502106663057916569533823584461554688026526590353345316904461018
0⃣0⃣1⃣8⃣,62580790805105154992123000839337893913549459345325644083522616384028810117345
0⃣0⃣1⃣9⃣,52294640989030886059003442732483318125934512184693526192898819565574011173232
0⃣0⃣2⃣0⃣,106618267638630088078828757934105673037462043342713638332119024292310444264436
0⃣0⃣2⃣1⃣,67464300707953977619887047448765462411301251175134378294173404197912451467109
0⃣0⃣2⃣2⃣,51614050987579822226156258226706204236484609469338348123637434239412865014022
0⃣0⃣2⃣3⃣,47448061794563119052692399300104785981051344931193745970239766390699337428211
0⃣0⃣2⃣4⃣,78447940714839868280216992746552949429588189352558344191740846347495091792148
0⃣0⃣2⃣5⃣,94232194697326957511594040913608752775526210297999345613935095720572204426212
0⃣0⃣2⃣6⃣,67622714586496628477253351107615987239817864183253004711583722487756324823536
0⃣0⃣2⃣7⃣,27047126331978469257490665395576652672043884532041339619356329402775949062447
0⃣0⃣2⃣8⃣,77567666998183565415999923840580905112226990874383411604315426160786379389792
0⃣0⃣2⃣9⃣,4410142987873865124015711696536845022480878364297127118335890284298447697613
0⃣0⃣3⃣0⃣,106933483920454214018907474752504070919699589064118371942082970972172808987397
0⃣0⃣3⃣1⃣,19361192939887505334018913882158550338559937799375082597263163465175554040013
0⃣0⃣3⃣2⃣,90409516648162870404780569830907908802839381679718887389073410432320761583973
0⃣0⃣3⃣3⃣,41701265217559226100600276327330056104954697722431171222940423962082482745167
0⃣0⃣3⃣4⃣,48685211813258575397132546458388101996022251651750024747663839075425738065709
0⃣0⃣3⃣5⃣,43003734709881672377037179089372724194592298551201604201286760080707776537169
0⃣0⃣3⃣6⃣,62630054764618069979999076930027920193736655100774618912059045599914886082038
0⃣0⃣3⃣7⃣,70671070890469670274463438373058293365741765359224472567179523240438826334362
0⃣0⃣3⃣8⃣,96585559272879667346323522953661273929792707717010871081493015742716132161625
0⃣0⃣3⃣9⃣,112570494820963676766640532948161633189035743624446504186629071952130664566846
0⃣0⃣4⃣0⃣,87643856836452234601782912649197024193505561714624211853273439965500193964588
0⃣0⃣4⃣1⃣,72027401207045163943881501466964463508792290100386521605521522220451578895905
0⃣0⃣4⃣2⃣,57295612605568599841512874841538815492480782808422585975875915331215406908919
0⃣0⃣4⃣3⃣,75139901564688414099794342711844418916241648661256049735829324827399436192446
0⃣0⃣4⃣4⃣,67786445500277463990873386051134411185277197326861670142544213946043510415550
0⃣0⃣4⃣5⃣,34270653255777801015224326571204748702321327068454365924322898026358296281190
0⃣0⃣4⃣6⃣,4038277762159949989624223629254754252713615367211454218934372469924943362169
0⃣0⃣4⃣7⃣,81291994164829886373439179088308164725053508043449691480835136819141063399711
0⃣0⃣4⃣8⃣,126138419691162460372627333668235065480589835706602588834507201967511011730
0⃣0⃣4⃣9⃣,50412702497822076450109898472415985791677531358447148369673716815187623811170
