alchemist
axe
bristleback
centaurwarrunner
chaosknight
dawnbreaker
doom
dragonknight
earthspirit
earthshaker
eldertitan
huskar
kunkka
legioncommander
lifestealer
mars
nightstalker
ogremagi
omniknight
primalbeast
pudge
slardar
spiritbreaker
sven
tidehunter
tiny
treantprotector
tusk
underlord
undying
wraithking
anti-mage
arcwarden
bloodseeker
bountyhunter
clinkz
drowranger
emberspirit
facelessvoid
gyrocopter
hoodwink
juggernaut
luna
medusa
meepo
monkeyking
morphling
nagasiren
phantomassassin
phantomlancer
razor
riki
shadowfiend
slark
sniper
spectre
templarassassin
terrorblade
trollwarlord
ursa
viper
weaver
ancientapparition
crystalmaiden
deathprophet
disruptor
enchantress
grimstroke
jakiro
keeperofthelight
leshrac
lich
lina
lion
muerta
nature’sprophet
necrophos
oracle
outworlddevourer
puck
pugna
queenofpain
rubick
shadowdemon
shadowshaman
silencer
skywrathmage
stormspirit
tinker
warlock
witchdoctor
zeus
abaddon
bane
batrider
beastmaster
brewmaster
broodmother
chen
clockwerk
darkseer
darkwillow
dazzle
enigma
invoker
lonedruid
lycan
magnus
marci
mirana
nyxassassin
pangolier
phoenix
sandking
snapfire
techies
timbersaw
vengefulspirit
venomancer
visage
voidspirit
windranger
winterwyvern
