captainrex: 72968021817376494380401136304685143439690368601969195708657870308220205275510,
captainvaughn: 32500491164186947924440000854956513031102340995273926076840810163413064499823,
caradune: 17829614463074359536766752483693815413291883504208453486974516958118324023648,
carlistrieekan: 54626159525048397820992791841736836926133125099577147848494135715891841982661,
carsonteva: 34004400475480162024798380142179436978066263707956568296715619761210839267727,
cassa: 79693045405146135448563031137999332760322917023097150007622192984046014210547,
cassianandor: 37513315373767268751459840602708968315331515186754522339025645706012503202849,
cassiotagge: 88141797133170778245019670218271688379664429425504664813724146381350069754441,
catoparasitti: 95708588292540044442648938512684282754794601812570165019893261139387369188769,
cerejunda: 102130073153490156046278073776365888502305329202461682731624147623506502202315,
chancellorpalpatine: 74921131662666460482429511129332543687025396428077072259046735041587407957677,
chancellorvalorum: 95026766447161714987008924214297417119249495858162627603038427788134126367614,
chewbacca: 70833989048731510793351658357025760838225313706498251030567307149032944575279,
chewie: 40385828691370666969066530026285730259456098790729155673097831904409969631492,
chiefchirpa: 87695032273584514590292740152808377041692769944848394260093369476735486785315,
chirrutîmwe: 59284840391169828997662070868167512760088314991919592592220650090928006025612,
cienaree: 107049094289111873984228275272310413765937177792665883443895861140162464142629,
cindrallig: 17885759075916123304832120144238421083074070817318912727360318315601734380314,
cintakaz: 30009988671910830449838796424760841123545426068127721850499017252483498966941,
cliegglars: 62465117655638365286673101275213746458150301172786547541917544455678869358372,
cobbvanth: 65605389437725827779398884589108909963185224050515506736462442428637292569386,
colemantrebor: 105662344944271167430350884938530964222310452684707989802971978933106886672986,
colonelkaplan: 84145833909852551336868346364540167331651759109775263234129859097839048126107,
commanderappo: 26931358190320552927619227188928246710559207565133808949604913870174091544182,
commanderbacara: 91546547926928275358766503560012812093965872329224984381324765309557289679464,
commanderbly: 56890411985882361456920715314248992438659752867500150921416284814198577328617,
commandercody: 64570813320962877971475043281755578530835248257728607145009256488367020860148,
commanderfil: 27017943090032254535607546883632470736984386879840773425663243963417768332400,
commanderfox: 108996836758016955001336151129988169920059225235655288062521471177603367291871,
commandergree: 96144706403694614973596475108360462454470615523692728758598299733394144208924,
commandergrey: 52198511595597407228379565937450545340901460013145063353065850151977938703395,
commanderjet: 90991012993780791665094045947369077445452645918722050520823368243386373703460,
commanderponds: 19652232465196884872062968370526836607479624140194859733772052957456083055922,
commanderwolffe: 113543491387888641134997995718500172331239777259737796535001959465297471269799,
